2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BGOS4,BMEB4,BIOM3,BMTO4,BRGE5,BRGE8,BRGE3,BNCA3,BRAP3,BRGE8,BRGE8,BRIV4,BRKM5,BRIV3,BRML3,BRPR3,BRSR5,BRML3,BRKM5,BRKM6,BRIV4,BRAP4,BRAP4,BRGE5,BRFS3,BRAV3,BRSR6
BHEQ4,BMIN3,BIOM4,BNBR3,BRGE6,BRIV3,BRGE5,BOBR4,BRAP4,BRIV3,BRIN3,BRKM3,BRKM6,BRIV4,BRPR3,BRSR3,BRSR6,BRPR3,BRKM6,BRML3,BRKM3,BRDT3,BRFS3,BRGE6,BRGE3,BRFS3,BRST3
BIOB3,BMIN4,BIVT4,BNBR4,BRGE8,BRIV4,BRGE6,BOVH3,BRGE3,BRIV4,BRIV3,BRKM5,BRML3,BRKM3,BRSR3,BRSR5,BSEV3,BRSR3,BRML3,BRPR3,BRKM5,BRFS3,BRGE3,BRGE7,BRGE5,BRKM3,BSLI3
BIOB4,BMKS3,BMCT3,BOBR4,BRIV3,BRKM3,BRGE7,BPIA3,BRGE6,BRKM3,BRIV4,BRKM6,BRPR3,BRKM5,BRSR5,BRSR6,BSLI4,BRSR5,BRPR3,BRSR3,BRKM6,BRGE3,BRGE5,BRGE8,BRGE6,BRKM5,BSLI4
BIOB5,BMTO3,BMCT4,BRAP3,BRIV4,BRKM5,BRGE8,BPNM4,BRGE7,BRKM5,BRKM3,BRML3,BRSR3,BRKM6,BRSR6,BSEV3,BTOW3,BRSR6,BRSR3,BRSR5,BRML3,BRGE5,BRGE6,BRIT3,BRGE7,BRKM6,CALI3
BIOB6,BMTO4,BMEB4,BRAP4,BRKM3,BRKM6,BRIV3,BRAP3,BRGE8,BRKM6,BRKM5,BRPR3,BRSR5,BRML3,BSEV3,BSLI3,BTTL3,BSEV3,BRSR5,BRSR6,BRPR3,BRGE6,BRGE8,BRIV3,BRGE8,BRSR3,CAMB3
BIOB7,BNBR3,BMIN3,BRDT3,BRKM5,BRSR3,BRIV4,BRAP4,BRIV3,BRML3,BRKM6,BRSR3,BRSR6,BRPR3,BSLI3,BSLI4,BTTL4,BSLI3,BRSR6,BSEV3,BRSR3,BRGE8,BRIT3,BRIV4,BRIT3,BRSR5,CAML3
BIVT3,BNBR4,BMIN4,BRDT4,BRKM6,BRSR4,BRKM3,BRGE3,BRIV4,BRSR3,BRML3,BRSR5,BRTO3,BRSR3,BSLI4,BTOW3,BVMF3,BSLI4,BSEV3,BSLI3,BRSR5,BRIT3,BRIV3,BRKM3,BRIV3,BRSR6,CASH3
BIVT4,BOBR4,BMKS3,BRGE3,BRSR3,BRTO3,BRKM5,BRGE5,BRKM3,BRSR5,BRPR3,BRSR6,BRTO4,BRSR5,BTOW3,BTTL3,CALI4,BTOW3,BSLI3,BSLI4,BRSR6,BRIV3,BRIV4,BRKM5,BRIV4,BRST3,CBAV3
BMCT3,BPAR3,BMTO3,BRGE5,BRSR4,BRTO4,BRKM6,BRGE6,BRKM5,BRSR6,BRSR3,BRTO3,BSLI3,BRSR6,BTTL3,BTTL4,CAMB4,BTTL3,BSLI4,BTOW3,BSEV3,BRIV4,BRKM3,BRKM6,BRKM3,BSLI3,CBEE3
